INFO 2025-07-16 18:06:39,144 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 191
ERROR 2025-07-16 18:06:39,145 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:06:39,145 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:06:39,145 google_places 92226 6231617536 Google Places API key not configured
INFO 2025-07-16 18:06:39,146 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:07:45,584 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 184
ERROR 2025-07-16 18:07:45,588 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:07:45,594 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:07:45,595 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:07:45,598 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:07:45,605 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 186
ERROR 2025-07-16 18:07:45,638 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:07:45,639 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:07:45,639 google_places 92226 6231617536 Google Places API key not configured
INFO 2025-07-16 18:07:45,640 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:08:53,160 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 184
ERROR 2025-07-16 18:08:53,162 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:08:53,165 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:08:53,165 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:08:53,166 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:09:03,605 basehttp 92226 6197964800 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
WARNING 2025-07-16 18:09:03,614 log 92226 6197964800 Bad Request: /api/auth/logout/
WARNING 2025-07-16 18:09:03,615 basehttp 92226 6197964800 "POST /api/auth/logout/ HTTP/1.1" 400 26
INFO 2025-07-16 18:09:08,631 basehttp 92226 6197964800 "POST /api/auth/login/ HTTP/1.1" 200 854
ERROR 2025-07-16 18:09:08,702 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:09:08,702 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:09:08,702 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:09:08,703 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:09:08,707 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 191
ERROR 2025-07-16 18:09:08,711 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:09:08,711 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:09:08,711 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:09:08,712 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:09:08,716 basehttp 92226 6231617536 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 183
WARNING 2025-07-16 18:09:53,852 log 92226 6197964800 Bad Request: /api/auth/logout/
WARNING 2025-07-16 18:09:53,853 basehttp 92226 6197964800 "POST /api/auth/logout/ HTTP/1.1" 400 26
INFO 2025-07-16 18:10:48,060 basehttp 92226 6197964800 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
INFO 2025-07-16 18:10:48,508 basehttp 92226 6197964800 "POST /api/auth/register/ HTTP/1.1" 201 858
ERROR 2025-07-16 18:10:48,581 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:10:48,582 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:10:48,583 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 185
ERROR 2025-07-16 18:10:48,584 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:10:48,589 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
ERROR 2025-07-16 18:10:48,615 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:10:48,615 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:10:48,616 google_places 92226 6231617536 Google Places API key not configured
INFO 2025-07-16 18:10:48,616 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:10:48,618 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 184
WARNING 2025-07-16 18:11:33,271 log 92226 6197964800 Bad Request: /api/auth/logout/
WARNING 2025-07-16 18:11:33,272 basehttp 92226 6197964800 "POST /api/auth/logout/ HTTP/1.1" 400 26
INFO 2025-07-16 18:11:41,846 basehttp 92226 6197964800 "POST /api/auth/login/ HTTP/1.1" 200 858
ERROR 2025-07-16 18:11:41,916 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:11:41,916 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:11:41,917 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:11:41,918 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:11:41,922 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 191
INFO 2025-07-16 18:11:41,927 basehttp 92226 6231617536 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 182
ERROR 2025-07-16 18:11:41,929 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:11:41,929 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:11:41,929 google_places 92226 6214791168 Google Places API key not configured
